session_number,test_acc,bins,kernel,model
754312389,0.924369748,1,linear,SVC
742951821,45.71428571,1,linear,SVC
797828357,47.05882353,1,linear,SVC
744228101,47.81512605,1,linear,SVC
751348571,50.42016807,1,linear,SVC
750749662,51.2605042,1,linear,SVC
773418906,55.29411765,1,linear,SVC
754829445,55.79831933,1,linear,SVC
743475441,58.06722689,1,linear,SVC
757970808,66.72268908,1,linear,SVC
721123822,67.14285714,1,linear,SVC
719161530,67.31092437,1,linear,SVC
757216464,67.73109244,1,linear,SVC
732592105,69.07563025,1,linear,SVC
750332458,70.16806723,1,linear,SVC
759883607,71.17647059,1,linear,SVC
758798717,73.36134454,1,linear,SVC
756029989,77.64705882,1,linear,SVC
791319847,77.98319328,1,linear,SVC
760693773,79.32773109,1,linear,SVC
763673393,79.49579832,1,linear,SVC
739448407,80,1,linear,SVC
755434585,81.2605042,1,linear,SVC
798911424,82.77310924,1,linear,SVC
746083955,84.62184874,1,linear,SVC
762120172,85.21008403,1,linear,SVC
799864342,85.71428571,1,linear,SVC
737581020,88.33474218,1,linear,SVC
760345702,90.92436975,1,linear,SVC
715093703,91.34453782,1,linear,SVC
761418226,92.01680672,1,linear,SVC
762602078,92.5210084,1,linear,SVC
